Track,Driver,GridPosition,Stint,Compound,StintLength
British,LEC,11.0,2.0,INTERMEDIATE,8.0
British,LEC,11.0,3.0,INTERMEDIATE,10.0
British,LEC,11.0,4.0,SOFT,14.0
British,MAG,17.0,1.0,MEDIUM,27.0
British,MAG,17.0,2.0,INTERMEDIATE,10.0
British,MAG,17.0,3.0,SOFT,15.0
British,NOR,3.0,1.0,MEDIUM,27.0
British,NOR,3.0,2.0,INTERMEDIATE,12.0
British,NOR,3.0,3.0,SOFT,13.0
British,OCO,18.0,1.0,SOFT,19.0
British,OCO,18.0,2.0,INTERMEDIATE,2.0
British,OCO,18.0,3.0,MEDIUM,5.0
British,OCO,18.0,4.0,INTERMEDIATE,12.0
British,OCO,18.0,5.0,MEDIUM,12.0
British,PER,20.0,1.0,HARD,19.0
British,PER,20.0,2.0,INTERMEDIATE,9.0
British,PER,20.0,3.0,INTERMEDIATE,9.0
British,PER,20.0,4.0,MEDIUM,10.0
British,PER,20.0,5.0,SOFT,3.0
British,PIA,5.0,1.0,MEDIUM,28.0
British,PIA,5.0,2.0,INTERMEDIATE,10.0
British,PIA,5.0,3.0,MEDIUM,14.0
British,RIC,15.0,1.0,MEDIUM,26.0
British,RIC,15.0,2.0,INTERMEDIATE,11.0
British,RIC,15.0,3.0,SOFT,14.0
British,RUS,1.0,1.0,MEDIUM,27.0
British,RUS,1.0,2.0,INTERMEDIATE,6.0
British,SAI,7.0,1.0,MEDIUM,26.0
British,SAI,7.0,2.0,INTERMEDIATE,13.0
British,SAI,7.0,3.0,HARD,11.0
British,SAI,7.0,4.0,SOFT,2.0
British,SAR,12.0,1.0,MEDIUM,27.0
British,SAR,12.0,2.0,INTERMEDIATE,11.0
British,SAR,12.0,3.0,SOFT,14.0
British,STR,8.0,1.0,MEDIUM,26.0
British,STR,8.0,2.0,INTERMEDIATE,13.0
British,STR,8.0,3.0,MEDIUM,13.0
British,TSU,13.0,1.0,MEDIUM,27.0
British,TSU,13.0,2.0,INTERMEDIATE,11.0
British,TSU,13.0,3.0,SOFT,14.0
British,VER,4.0,1.0,MEDIUM,26.0
British,VER,4.0,2.0,INTERMEDIATE,12.0
British,VER,4.0,3.0,HARD,14.0
British,ZHO,14.0,1.0,SOFT,12.0
British,ZHO,14.0,2.0,MEDIUM,7.0
British,ZHO,14.0,3.0,INTERMEDIATE,7.0
British,ZHO,14.0,4.0,INTERMEDIATE,11.0
British,ZHO,14.0,5.0,SOFT,13.0
Dutch,ALB,19.0,1.0,MEDIUM,12.0
Dutch,ALB,19.0,2.0,HARD,42.0
Dutch,ALB,19.0,3.0,MEDIUM,17.0
Dutch,ALO,7.0,1.0,MEDIUM,31.0
Dutch,ALO,7.0,2.0,HARD,40.0
Dutch,BOT,16.0,1.0,SOFT,15.0
Dutch,BOT,16.0,2.0,HARD,28.0
Dutch,BOT,16.0,3.0,MEDIUM,27.0
Dutch,GAS,9.0,1.0,MEDIUM,32.0
Dutch,GAS,9.0,2.0,HARD,39.0
Dutch,HAM,14.0,1.0,SOFT,23.0
Dutch,HAM,14.0,2.0,HARD,25.0
Dutch,HAM,14.0,3.0,SOFT,24.0
Dutch,HUL,12.0,1.0,MEDIUM,14.0
Dutch,HUL,12.0,2.0,HARD,57.0
Dutch,LEC,6.0,1.0,MEDIUM,24.0
Dutch,LEC,6.0,2.0,HARD,48.0
Dutch,MAG,20.0,1.0,HARD,40.0
Dutch,MAG,20.0,2.0,MEDIUM,31.0
Dutch,NOR,1.0,1.0,MEDIUM,28.0
Dutch,NOR,1.0,2.0,HARD,44.0
Dutch,OCO,15.0,1.0,MEDIUM,30.0
Dutch,OCO,15.0,2.0,HARD,41.0
Dutch,PER,5.0,1.0,MEDIUM,29.0
Dutch,PER,5.0,2.0,HARD,43.0
Dutch,PIA,3.0,1.0,MEDIUM,33.0
Dutch,PIA,3.0,2.0,HARD,39.0
Dutch,RIC,13.0,1.0,MEDIUM,29.0
Dutch,RIC,13.0,2.0,HARD,42.0
Dutch,RUS,4.0,1.0,MEDIUM,25.0
Dutch,RUS,4.0,2.0,HARD,29.0
