Track,Driver,Team,GridPosition,Stint,Compound,StintLength,PitLap,AvgAirTemp,AvgTrackTemp
Japanese,ZHO,Kick Sauber,20.0,1,MEDIUM,1,,21.691160220994476,37.50110497237569
Japanese,ZHO,Kick Sauber,20.0,2,SOFT,6,2.0,21.691160220994476,37.50110497237569
Japanese,ZHO,Kick Sauber,20.0,3,HARD,5,8.0,21.691160220994476,37.50110497237569
Japanese,RIC,RB,11.0,1,MEDIUM,1,,21.691160220994476,37.50110497237569
Japanese,ALB,Williams,14.0,1,SOFT,1,,21.691160220994476,37.50110497237569
Miami,VER,Red Bull Racing,1.0,1,MEDIUM,23,,28.521999999999995,44.664
Miami,VER,Red Bull Racing,1.0,2,HARD,34,24.0,28.521999999999995,44.664
Miami,GAS,Alpine,12.0,1,MEDIUM,12,,28.521999999999995,44.664
Miami,GAS,Alpine,12.0,2,HARD,45,13.0,28.521999999999995,44.664
Miami,PER,Red Bull Racing,4.0,1,MEDIUM,17,,28.521999999999995,44.664
Miami,PER,Red Bull Racing,4.0,2,HARD,11,18.0,28.521999999999995,44.664
Miami,PER,Red Bull Racing,4.0,3,MEDIUM,29,29.0,28.521999999999995,44.664
Miami,ALO,Aston Martin,15.0,1,HARD,22,,28.521999999999995,44.664
Miami,ALO,Aston Martin,15.0,2,MEDIUM,35,23.0,28.521999999999995,44.664
Miami,LEC,Ferrari,2.0,1,MEDIUM,19,,28.521999999999995,44.664
Miami,LEC,Ferrari,2.0,2,HARD,38,20.0,28.521999999999995,44.664
Miami,STR,Aston Martin,11.0,1,MEDIUM,11,,28.521999999999995,44.664
Miami,STR,Aston Martin,11.0,2,HARD,17,12.0,28.521999999999995,44.664
Miami,STR,Aston Martin,11.0,3,MEDIUM,29,29.0,28.521999999999995,44.664
Miami,SAR,Williams,17.0,1,MEDIUM,11,,28.521999999999995,44.664
Miami,SAR,Williams,17.0,2,HARD,17,12.0,28.521999999999995,44.664
Miami,MAG,Haas F1 Team,18.0,1,HARD,22,,28.521999999999995,44.664
Miami,MAG,Haas F1 Team,18.0,2,MEDIUM,35,23.0,28.521999999999995,44.664
Miami,TSU,RB,10.0,1,MEDIUM,28,,28.521999999999995,44.664
Miami,TSU,RB,10.0,2,HARD,29,29.0,28.521999999999995,44.664
Miami,ALB,Williams,14.0,1,MEDIUM,10,,28.521999999999995,44.664
Miami,ALB,Williams,14.0,2,HARD,43,11.0,28.521999999999995,44.664
Miami,ALB,Williams,14.0,3,SOFT,4,54.0,28.521999999999995,44.664
Miami,ZHO,Kick Sauber,19.0,1,MEDIUM,28,,28.521999999999995,44.664
Miami,ZHO,Kick Sauber,19.0,2,SOFT,29,29.0,28.521999999999995,44.664
Miami,HUL,Haas F1 Team,9.0,1,MEDIUM,12,,28.521999999999995,44.664
Miami,HUL,Haas F1 Team,9.0,2,HARD,16,13.0,28.521999999999995,44.664
Miami,HUL,Haas F1 Team,9.0,3,MEDIUM,29,29.0,28.521999999999995,44.664
Miami,RIC,RB,20.0,1,HARD,28,,28.521999999999995,44.664
Miami,RIC,RB,20.0,2,MEDIUM,29,29.0,28.521999999999995,44.664
Miami,OCO,Alpine,13.0,1,MEDIUM,22,,28.521999999999995,44.664
Miami,OCO,Alpine,13.0,2,HARD,35,23.0,28.521999999999995,44.664
Miami,NOR,McLaren,5.0,1,MEDIUM,29,,28.521999999999995,44.664
Miami,NOR,McLaren,5.0,2,HARD,28,30.0,28.521999999999995,44.664
Miami,HAM,Mercedes,8.0,1,HARD,26,,28.521999999999995,44.664
Miami,HAM,Mercedes,8.0,2,MEDIUM,31,27.0,28.521999999999995,44.664
Miami,SAI,Ferrari,3.0,1,MEDIUM,27,,28.521999999999995,44.664
Miami,SAI,Ferrari,3.0,2,HARD,30,28.0,28.521999999999995,44.664
Miami,RUS,Mercedes,7.0,1,MEDIUM,24,,28.521999999999995,44.664
Miami,RUS,Mercedes,7.0,2,HARD,33,25.0,28.521999999999995,44.664
Miami,BOT,Kick Sauber,16.0,1,SOFT,11,,28.521999999999995,44.664
Miami,BOT,Kick Sauber,16.0,2,HARD,18,12.0,28.521999999999995,44.664
Miami,BOT,Kick Sauber,16.0,3,MEDIUM,28,30.0,28.521999999999995,44.664
Miami,PIA,McLaren,6.0,1,MEDIUM,27,,28.521999999999995,44.664
Miami,PIA,McLaren,6.0,2,HARD,13,28.0,28.521999999999995,44.664
Miami,PIA,McLaren,6.0,3,MEDIUM,17,41.0,28.521999999999995,44.664
Spanish,VER,Red Bull Racing,2.0,1,SOFT,17,,24.132467532467533,41.096103896103905
Spanish,VER,Red Bull Racing,2.0,2,MEDIUM,27,18.0,24.132467532467533,41.096103896103905
Spanish,VER,Red Bull Racing,2.0,3,SOFT,22,45.0,24.132467532467533,41.096103896103905
Spanish,NOR,McLaren,1.0,1,SOFT,23,,24.132467532467533,41.096103896103905
Spanish,NOR,McLaren,1.0,2,MEDIUM,24,24.0,24.132467532467533,41.096103896103905
Spanish,NOR,McLaren,1.0,3,SOFT,19,48.0,24.132467532467533,41.096103896103905
Spanish,HAM,Mercedes,3.0,1,SOFT,16,,24.132467532467533,41.096103896103905
Spanish,HAM,Mercedes,3.0,2,MEDIUM,27,17.0,24.132467532467533,41.096103896103905
Spanish,HAM,Mercedes,3.0,3,SOFT,23,44.0,24.132467532467533,41.096103896103905
Spanish,RUS,Mercedes,4.0,1,SOFT,15,,24.132467532467533,41.096103896103905
Spanish,RUS,Mercedes,4.0,2,MEDIUM,21,16.0,24.132467532467533,41.096103896103905
Spanish,RUS,Mercedes,4.0,3,HARD,30,37.0,24.132467532467533,41.096103896103905
Spanish,LEC,Ferrari,5.0,1,SOFT,24,,24.132467532467533,41.096103896103905
Spanish,LEC,Ferrari,5.0,2,MEDIUM,23,25.0,24.132467532467533,41.096103896103905
Spanish,LEC,Ferrari,5.0,3,SOFT,19,48.0,24.132467532467533,41.096103896103905
Spanish,SAI,Ferrari,6.0,1,SOFT,15,,24.132467532467533,41.096103896103905
Spanish,SAI,Ferrari,6.0,2,MEDIUM,21,16.0,24.132467532467533,41.096103896103905
Spanish,SAI,Ferrari,6.0,3,HARD,30,37.0,24.132467532467533,41.096103896103905
Spanish,PIA,McLaren,9.0,1,SOFT,21,,24.132467532467533,41.096103896103905
Spanish,PIA,McLaren,9.0,2,MEDIUM,25,22.0,24.132467532467533,41.096103896103905
Spanish,PIA,McLaren,9.0,3,SOFT,20,47.0,24.132467532467533,41.096103896103905
Spanish,PER,Red Bull Racing,11.0,1,SOFT,31,,24.132467532467533,41.096103896103905
Spanish,PER,Red Bull Racing,11.0,2,MEDIUM,18,32.0,24.132467532467533,41.096103896103905
Spanish,PER,Red Bull Racing,11.0,3,SOFT,17,50.0,24.132467532467533,41.096103896103905
Spanish,GAS,Alpine,7.0,1,SOFT,14,,24.132467532467533,41.096103896103905
Spanish,GAS,Alpine,7.0,2,MEDIUM,24,15.0,24.132467532467533,41.096103896103905
Spanish,GAS,Alpine,7.0,3,HARD,28,39.0,24.132467532467533,41.096103896103905
Spanish,OCO,Alpine,8.0,1,SOFT,13,,24.132467532467533,41.096103896103905
Spanish,OCO,Alpine,8.0,2,MEDIUM,24,14.0,24.132467532467533,41.096103896103905
Spanish,OCO,Alpine,8.0,3,HARD,29,38.0,24.132467532467533,41.096103896103905
Spanish,HUL,Haas F1 Team,13.0,1,SOFT,12,,24.132467532467533,41.096103896103905
Spanish,HUL,Haas F1 Team,13.0,2,MEDIUM,26,13.0,24.132467532467533,41.096103896103905
Spanish,HUL,Haas F1 Team,13.0,3,HARD,28,39.0,24.132467532467533,41.096103896103905
Spanish,ALO,Aston Martin,10.0,1,SOFT,19,,24.132467532467533,41.096103896103905
Spanish,ALO,Aston Martin,10.0,2,MEDIUM,26,20.0,24.132467532467533,41.096103896103905
Spanish,ALO,Aston Martin,10.0,3,HARD,20,46.0,24.132467532467533,41.096103896103905
Spanish,ZHO,Kick Sauber,15.0,1,SOFT,9,,24.132467532467533,41.096103896103905
Spanish,ZHO,Kick Sauber,15.0,2,MEDIUM,32,10.0,24.132467532467533,41.096103896103905
Spanish,ZHO,Kick Sauber,15.0,3,HARD,24,42.0,24.132467532467533,41.096103896103905
Spanish,STR,Aston Martin,14.0,1,SOFT,17,,24.132467532467533,41.096103896103905
Spanish,STR,Aston Martin,14.0,2,MEDIUM,20,18.0,24.132467532467533,41.096103896103905
Spanish,STR,Aston Martin,14.0,3,HARD,28,38.0,24.132467532467533,41.096103896103905
Spanish,RIC,RB,18.0,1,SOFT,16,,24.132467532467533,41.096103896103905
Spanish,RIC,RB,18.0,2,MEDIUM,26,17.0,24.132467532467533,41.096103896103905
Spanish,RIC,RB,18.0,3,HARD,23,43.0,24.132467532467533,41.096103896103905
Spanish,BOT,Kick Sauber,12.0,1,SOFT,28,,24.132467532467533,41.096103896103905
Spanish,BOT,Kick Sauber,12.0,2,HARD,37,29.0,24.132467532467533,41.096103896103905
Spanish,MAG,Haas F1 Team,16.0,1,SOFT,10,,24.132467532467533,41.096103896103905
Spanish,MAG,Haas F1 Team,16.0,2,MEDIUM,19,11.0,24.132467532467533,41.096103896103905
Spanish,MAG,Haas F1 Team,16.0,3,HARD,36,30.0,24.132467532467533,41.096103896103905
Spanish,ALB,Williams,20.0,1,MEDIUM,18,,24.132467532467533,41.096103896103905
Spanish,ALB,Williams,20.0,2,SOFT,47,19.0,24.132467532467533,41.096103896103905
Spanish,TSU,RB,17.0,1,SOFT,9,,24.132467532467533,41.096103896103905
Spanish,TSU,RB,17.0,2,MEDIUM,18,10.0,24.132467532467533,41.096103896103905
Spanish,TSU,RB,17.0,3,HARD,17,28.0,24.132467532467533,41.096103896103905
Spanish,TSU,RB,17.0,4,SOFT,21,45.0,24.132467532467533,41.096103896103905
Spanish,SAR,Williams,19.0,1,SOFT,14,,24.132467532467533,41.096103896103905
Spanish,SAR,Williams,19.0,2,MEDIUM,20,15.0,24.132467532467533,41.096103896103905
Spanish,SAR,Williams,19.0,3,HARD,30,35.0,24.132467532467533,41.096103896103905
Austrian,RUS,Mercedes,3.0,1,MEDIUM,46,,29.42587412587413,46.420979020979026
Austrian,RUS,Mercedes,3.0,2,HARD,25,47.0,29.42587412587413,46.420979020979026
Austrian,PIA,McLaren,7.0,1,MEDIUM,25,,29.42587412587413,46.420979020979026
