Season,EventName,Driver,LapNumber,TotalLaps,TyreLife,Compound,TrackStatus,StintID,LapTimeSeconds,FuelLoadKgEst,FuelCorrection,AirTemp,TrackTemp,ThermalDegProxy,MechWearProxy,LapFrac
2025,Abu Dhabi Grand Prix,ALO,14,58,15.0,MEDIUM,1,1,90.267,77.9,-2.337,26.67402597402597,31.06168831168831,13.312152133580705,15.543103448275863,0.2413793103448276
2025,Abu Dhabi Grand Prix,ALO,15,58,16.0,MEDIUM,1,1,89.836,76.2,-2.286,26.67402597402597,31.06168831168831,14.199628942486084,16.620689655172413,0.25862068965517243
2025,Abu Dhabi Grand Prix,ALO,18,58,3.0,HARD,1,2,89.993,71.1,-2.1329999999999996,26.67402597402597,31.06168831168831,2.6624304267161407,3.139655172413793,0.3103448275862069
2025,Abu Dhabi Grand Prix,ALO,19,58,4.0,HARD,1,2,90.112,69.4,-2.0820000000000003,26.67402597402597,31.06168831168831,3.549907235621521,4.196551724137931,0.3275862068965517
2025,Abu Dhabi Grand Prix,ALO,20,58,5.0,HARD,1,2,90.107,67.7,-2.031,26.67402597402597,31.06168831168831,4.437384044526901,5.258620689655173,0.3448275862068966
2025,Abu Dhabi Grand Prix,ALO,21,58,6.0,HARD,1,2,90.031,66.0,-1.98,26.67402597402597,31.06168831168831,5.324860853432281,6.325862068965517,0.3620689655172414
2025,Abu Dhabi Grand Prix,ALO,22,58,7.0,HARD,1,2,90.321,64.30000000000001,-1.9290000000000003,26.67402597402597,31.06168831168831,6.212337662337662,7.3982758620689655,0.3793103448275862
2025,Abu Dhabi Grand Prix,ALO,23,58,8.0,HARD,1,2,89.42,62.6,-1.878,26.67402597402597,31.06168831168831,7.099814471243042,8.475862068965517,0.39655172413793105
2025,Abu Dhabi Grand Prix,ALO,24,58,9.0,HARD,1,2,90.803,60.9,-1.827,26.67402597402597,31.06168831168831,7.987291280148423,9.558620689655172,0.41379310344827586
2025,Abu Dhabi Grand Prix,ALO,25,58,10.0,HARD,1,2,90.26,59.2,-1.776,26.67402597402597,31.06168831168831,8.874768089053802,10.646551724137932,0.43103448275862066
2025,Abu Dhabi Grand Prix,ALO,26,58,11.0,HARD,1,2,89.824,57.5,-1.7249999999999999,26.67402597402597,31.06168831168831,9.762244897959183,11.739655172413793,0.4482758620689655
2025,Abu Dhabi Grand Prix,ALO,27,58,12.0,HARD,1,2,89.75,55.800000000000004,-1.6740000000000002,26.67402597402597,31.06168831168831,10.649721706864563,12.837931034482757,0.46551724137931033
2025,Abu Dhabi Grand Prix,ALO,28,58,13.0,HARD,1,2,90.533,54.1,-1.623,26.67402597402597,31.06168831168831,11.537198515769944,13.941379310344828,0.4827586206896552
2025,Abu Dhabi Grand Prix,ALO,29,58,14.0,HARD,1,2,90.397,52.4,-1.5719999999999998,26.67402597402597,31.06168831168831,12.424675324675324,15.049999999999999,0.5
2025,Abu Dhabi Grand Prix,ALO,30,58,15.0,HARD,1,2,90.41,50.7,-1.5210000000000001,26.67402597402597,31.06168831168831,13.312152133580705,16.163793103448278,0.5172413793103449
2025,Abu Dhabi Grand Prix,ALO,31,58,16.0,HARD,1,2,89.708,49.0,-1.47,26.67402597402597,31.06168831168831,14.199628942486084,17.282758620689656,0.5344827586206896
2025,Abu Dhabi Grand Prix,ALO,32,58,17.0,HARD,1,2,90.048,47.300000000000004,-1.419,26.67402597402597,31.06168831168831,15.087105751391464,18.406896551724138,0.5517241379310345
2025,Abu Dhabi Grand Prix,ALO,33,58,18.0,HARD,1,2,89.982,45.6,-1.3679999999999999,26.67402597402597,31.06168831168831,15.974582560296845,19.536206896551725,0.5689655172413793
2025,Abu Dhabi Grand Prix,ALO,34,58,19.0,HARD,1,2,89.751,43.9,-1.317,26.67402597402597,31.06168831168831,16.862059369202225,20.670689655172414,0.5862068965517241
